date,ticker,open,high,low,close
2019-07-01 00:56:00+00:00,eurusd,1.135435,1.13545,1.135435,1.135445
2019-07-01 00:57:00+00:00,eurusd,1.135445,1.135545,1.135415,1.13549
2019-07-01 00:58:00+00:00,eurusd,1.13549,1.135535,1.135405,1.13548
2019-07-01 00:59:00+00:00,eurusd,1.13548,1.13551,1.1354,1.13543
2019-07-01 01:00:00+00:00,eurusd,1.13543,1.135515,1.135405,1.135445
2019-07-01 01:01:00+00:00,eurusd,1.135445,1.1355,1.135385,1.135465
2019-07-01 01:02:00+00:00,eurusd,1.135465,1.135545,1.13541,1.13545
2019-07-01 01:03:00+00:00,eurusd,1.13545,1.135495,1.135315,1.13541
2019-07-01 01:04:00+00:00,eurusd,1.13541,1.13549,1.135365,1.135445
2019-07-01 01:05:00+00:00,eurusd,1.135445,1.135495,1.13539,1.13541
2019-07-01 01:06:00+00:00,eurusd,1.13541,1.13544,1.13536,1.13539
2019-07-01 01:07:00+00:00,eurusd,1.13539,1.13544,1.13529,1.135335
2019-07-01 01:08:00+00:00,eurusd,1.135335,1.135465,1.135335,1.135455
2019-07-01 01:09:00+00:00,eurusd,1.135455,1.13553,1.135315,1.135365
2019-07-01 01:10:00+00:00,eurusd,1.135355,1.13546,1.135325,1.13546
2019-07-01 01:11:00+00:00,eurusd,1.13544,1.13549,1.13539,1.135465
2019-07-01 01:12:00+00:00,eurusd,1.135465,1.13547,1.135375,1.135465
2019-07-01 01:13:00+00:00,eurusd,1.135465,1.13549,1.13544,1.135445
2019-07-01 01:14:00+00:00,eurusd,1.135465,1.13549,1.13539,1.135465
2019-07-01 01:16:00+00:00,eurusd,1.135465,1.13549,1.135385,1.135385
2019-07-01 01:17:00+00:00,eurusd,1.135385,1.135395,1.13529,1.13537
2019-07-01 01:18:00+00:00,eurusd,1.13537,1.135395,1.135315,1.135375
2019-07-01 01:19:00+00:00,eurusd,1.13537,1.13548,1.135325,1.135465
2019-07-01 01:20:00+00:00,eurusd,1.135485,1.13559,1.135445,1.13546
2019-07-01 01:21:00+00:00,eurusd,1.13546,1.13546,1.13528,1.13534
2019-07-01 01:22:00+00:00,eurusd,1.13534,1.13539,1.135325,1.13535
2019-07-01 01:23:00+00:00,eurusd,1.13535,1.13539,1.135245,1.135345
2019-07-01 01:24:00+00:00,eurusd,1.135355,1.13547,1.135355,1.13541
2019-07-01 01:25:00+00:00,eurusd,1.13541,1.13544,1.135265,1.135295
2019-07-01 01:26:00+00:00,eurusd,1.135275,1.13539,1.13527,1.13535
2019-07-01 01:27:00+00:00,eurusd,1.13535,1.13544,1.13535,1.135385
2019-07-01 01:28:00+00:00,eurusd,1.135385,1.135425,1.13532,1.135405
2019-07-01 01:29:00+00:00,eurusd,1.135405,1.135455,1.135295,1.13534
2019-07-01 01:30:00+00:00,eurusd,1.13534,1.13537,1.13528,1.135335
2019-07-01 01:31:00+00:00,eurusd,1.135335,1.135345,1.13529,1.13531
2019-07-01 01:32:00+00:00,eurusd,1.13531,1.135315,1.135275,1.135285
2019-07-01 01:33:00+00:00,eurusd,1.135285,1.13534,1.135245,1.1353
2019-07-01 01:34:00+00:00,eurusd,1.1353,1.135325,1.13525,1.1353
2019-07-01 01:35:00+00:00,eurusd,1.1353,1.135315,1.135125,1.13527
2019-07-01 01:36:00+00:00,eurusd,1.13527,1.13527,1.13512,1.135165
2019-07-01 01:37:00+00:00,eurusd,1.135165,1.135205,1.135075,1.13509
2019-07-01 01:38:00+00:00,eurusd,1.13509,1.135115,1.13502,1.13502
2019-07-01 01:39:00+00:00,eurusd,1.13502,1.135045,1.134975,1.135035
2019-07-01 01:40:00+00:00,eurusd,1.135035,1.135145,1.135035,1.13514
2019-07-01 01:41:00+00:00,eurusd,1.13514,1.13527,1.135075,1.135145
2019-07-01 01:42:00+00:00,eurusd,1.135145,1.13524,1.135025,1.135105
2019-07-01 01:43:00+00:00,eurusd,1.135105,1.13524,1.134975,1.135165
2019-07-01 01:44:00+00:00,eurusd,1.135165,1.13524,1.134985,1.135135
2019-07-01 01:45:00+00:00,eurusd,1.135135,1.135235,1.13483,1.13504
2019-07-01 01:46:00+00:00,eurusd,1.13503,1.13503,1.13468,1.134855
2019-07-01 01:47:00+00:00,eurusd,1.134855,1.13503,1.134695,1.134915
2019-07-01 01:48:00+00:00,eurusd,1.134915,1.13495,1.134795,1.13483
2019-07-01 01:49:00+00:00,eurusd,1.13483,1.13488,1.13482,1.13482
2019-07-01 01:50:00+00:00,eurusd,1.13482,1.13494,1.13482,1.134925
2019-07-01 01:51:00+00:00,eurusd,1.134925,1.134965,1.13487,1.13494
2019-07-01 01:52:00+00:00,eurusd,1.13494,1.135015,1.134885,1.134965
2019-07-01 01:53:00+00:00,eurusd,1.134955,1.135015,1.134875,1.134965
2019-07-01 01:54:00+00:00,eurusd,1.134965,1.135055,1.134955,1.134975
2019-07-01 01:55:00+00:00,eurusd,1.134975,1.13503,1.13496,1.13499
2019-07-01 01:56:00+00:00,eurusd,1.13499,1.135065,1.13499,1.135015
2019-07-01 01:57:00+00:00,eurusd,1.135015,1.135165,1.135015,1.135165
2019-07-01 01:58:00+00:00,eurusd,1.135165,1.135165,1.135045,1.13512
2019-07-01 01:59:00+00:00,eurusd,1.13512,1.1352,1.135095,1.13515
2019-07-01 02:00:00+00:00,eurusd,1.13516,1.13521,1.135125,1.135205
2019-07-01 02:01:00+00:00,eurusd,1.135205,1.135225,1.13512,1.13522
2019-07-01 02:02:00+00:00,eurusd,1.13522,1.13522,1.13513,1.135195
2019-07-01 02:03:00+00:00,eurusd,1.135195,1.135195,1.13512,1.135145
2019-07-01 02:04:00+00:00,eurusd,1.135135,1.13528,1.13513,1.13521
2019-07-01 02:05:00+00:00,eurusd,1.13521,1.135315,1.1352,1.13527
2019-07-01 02:06:00+00:00,eurusd,1.13527,1.135315,1.135205,1.135265
2019-07-01 02:07:00+00:00,eurusd,1.135265,1.13532,1.13523,1.135245
2019-07-01 02:08:00+00:00,eurusd,1.13523,1.135605,1.13523,1.135275
2019-07-01 02:09:00+00:00,eurusd,1.135275,1.135355,1.135255,1.135305
2019-07-01 02:10:00+00:00,eurusd,1.135305,1.13538,1.135275,1.135315
2019-07-01 02:11:00+00:00,eurusd,1.135315,1.135355,1.13531,1.13532
2019-07-01 02:12:00+00:00,eurusd,1.13532,1.13535,1.135305,1.13531
2019-07-01 02:13:00+00:00,eurusd,1.13531,1.13537,1.13531,1.13534
2019-07-01 02:14:00+00:00,eurusd,1.13534,1.13534,1.13533,1.13534
2019-07-01 02:15:00+00:00,eurusd,1.13534,1.13537,1.135325,1.13534
2019-07-01 02:16:00+00:00,eurusd,1.13534,1.135365,1.135325,1.135335
2019-07-01 02:17:00+00:00,eurusd,1.135335,1.13543,1.135335,1.13543
2019-07-01 02:18:00+00:00,eurusd,1.13543,1.135495,1.13542,1.135495
2019-07-01 02:19:00+00:00,eurusd,1.135495,1.135565,1.13543,1.135565
2019-07-01 02:20:00+00:00,eurusd,1.135565,1.135655,1.13549,1.135655
2019-07-01 02:21:00+00:00,eurusd,1.13566,1.13566,1.135475,1.13548
2019-07-01 02:22:00+00:00,eurusd,1.13548,1.135515,1.135435,1.135455
2019-07-01 02:23:00+00:00,eurusd,1.135455,1.135455,1.135355,1.13538
2019-07-01 02:24:00+00:00,eurusd,1.13538,1.13542,1.135375,1.135415
2019-07-01 02:25:00+00:00,eurusd,1.135445,1.135465,1.13535,1.13535
2019-07-01 02:26:00+00:00,eurusd,1.135375,1.135455,1.135375,1.13544
2019-07-01 02:27:00+00:00,eurusd,1.13543,1.13547,1.135265,1.135285
2019-07-01 02:28:00+00:00,eurusd,1.13528,1.135315,1.135245,1.13531
2019-07-01 02:29:00+00:00,eurusd,1.13531,1.135315,1.135275,1.13528
2019-07-01 02:30:00+00:00,eurusd,1.13528,1.13533,1.13524,1.135325
2019-07-01 02:31:00+00:00,eurusd,1.135325,1.13536,1.13528,1.13531
2019-07-01 02:32:00+00:00,eurusd,1.13531,1.13535,1.13525,1.135325
2019-07-01 02:33:00+00:00,eurusd,1.135325,1.13534,1.135275,1.135305
2019-07-01 02:34:00+00:00,eurusd,1.135305,1.13533,1.13525,1.13529
2019-07-01 02:35:00+00:00,eurusd,1.1353,1.135325,1.135245,1.135325
2019-07-01 02:36:00+00:00,eurusd,1.135325,1.135325,1.135225,1.135285
2019-07-01 02:37:00+00:00,eurusd,1.135285,1.135295,1.13524,1.13526
2019-07-01 02:38:00+00:00,eurusd,1.13526,1.13531,1.13523,1.13528
2019-07-01 02:39:00+00:00,eurusd,1.13528,1.13529,1.13523,1.13527
2019-07-01 02:40:00+00:00,eurusd,1.13527,1.135365,1.13527,1.13533
2019-07-01 02:41:00+00:00,eurusd,1.13533,1.13533,1.13528,1.13528
2019-07-01 02:42:00+00:00,eurusd,1.13527,1.135325,1.13523,1.13531
2019-07-01 02:43:00+00:00,eurusd,1.1353,1.13536,1.13525,1.13529
2019-07-01 02:44:00+00:00,eurusd,1.135305,1.135315,1.135245,1.13528
2019-07-01 02:45:00+00:00,eurusd,1.13528,1.135365,1.13526,1.13533
2019-07-01 02:46:00+00:00,eurusd,1.13533,1.135345,1.135225,1.135225
2019-07-01 02:47:00+00:00,eurusd,1.135275,1.135305,1.135195,1.13521
2019-07-01 02:48:00+00:00,eurusd,1.13521,1.13526,1.13519,1.135215
2019-07-01 02:49:00+00:00,eurusd,1.135215,1.135305,1.13518,1.135285
2019-07-01 02:50:00+00:00,eurusd,1.135285,1.135285,1.13521,1.135245
2019-07-01 02:51:00+00:00,eurusd,1.13524,1.135315,1.13523,1.135315
2019-07-01 02:52:00+00:00,eurusd,1.135315,1.135315,1.13526,1.135275
2019-07-01 02:53:00+00:00,eurusd,1.135275,1.135345,1.135275,1.135295
2019-07-01 02:54:00+00:00,eurusd,1.135295,1.13537,1.135265,1.13533
2019-07-01 02:55:00+00:00,eurusd,1.13533,1.13541,1.13533,1.13541
2019-07-01 02:56:00+00:00,eurusd,1.135415,1.13545,1.13531,1.13531
2019-07-01 02:57:00+00:00,eurusd,1.135325,1.135355,1.13523,1.135285
2019-07-01 02:58:00+00:00,eurusd,1.135285,1.13534,1.13527,1.13529
2019-07-01 02:59:00+00:00,eurusd,1.13529,1.13531,1.135205,1.135235
2019-07-01 03:00:00+00:00,eurusd,1.135235,1.135605,1.13523,1.135315
2019-07-01 03:01:00+00:00,eurusd,1.135315,1.135365,1.135275,1.135285
2019-07-01 03:02:00+00:00,eurusd,1.135285,1.13532,1.13523,1.13523
2019-07-01 03:03:00+00:00,eurusd,1.13524,1.135295,1.13523,1.13524
2019-07-01 03:04:00+00:00,eurusd,1.135245,1.135245,1.1352,1.135225
2019-07-01 03:05:00+00:00,eurusd,1.135235,1.13529,1.13523,1.135245
2019-07-01 03:06:00+00:00,eurusd,1.135245,1.135265,1.13523,1.135245
2019-07-01 03:07:00+00:00,eurusd,1.135245,1.13527,1.13514,1.13514
2019-07-01 03:08:00+00:00,eurusd,1.13514,1.135165,1.135115,1.135165
